source,method,sigma_ln_x2,confidence,rationale,reviewer,notes
10.1016/j.molliq.2018.12.081,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says solubility was measured by gravimetric method over 298.15-328.15 K.",codex,"Text-confirmed method."
10.1021/je100341q,multi_temperature_primary,0.50,medium,"Reviewed top source: dense multi-temperature primary series (median 9 temperatures/pair, mean van't Hoff RMSE about 0.013).",codex,"Coarse prior only; exact measurement modality still unknown."
10.1021/je1009812,multi_temperature_primary,0.50,medium,"Reviewed top source: dense multi-temperature primary series (median 8 temperatures/pair, mean van't Hoff RMSE about 0.015).",codex,"Coarse prior only; exact measurement modality still unknown."
10.1016/j.molliq.2022.120365,multi_temperature_primary,0.55,medium,"Reviewed top source: title indicates experimental solubility analysis; source footprint shows dense multi-temperature primary measurements with low van't Hoff residuals.",codex,"Coarse prior only; exact measurement modality still unknown."
10.1021/acs.jced.3c00237,multi_temperature_primary,0.60,medium,"Reviewed top source: title indicates experimental measurements and thermodynamic modeling; footprint is a dense multi-temperature primary series.",codex,"Coarse prior only; exact measurement modality still unknown."
10.1016/j.jct.2014.05.009,multi_temperature_primary,0.65,medium,"Reviewed top source: dense multi-temperature primary series with moderate van't Hoff residuals; treated as a noisier primary source.",codex,"Coarse prior only; exact measurement modality still unknown."
10.1016/j.jct.2013.12.031,multi_temperature_primary,0.90,medium,"Reviewed top source: dense multi-temperature primary series but noticeably higher van't Hoff residuals, so assigned a weaker prior.",codex,"Coarse prior only; exact measurement modality still unknown."
10.1021/acs.jced.9b00842,multi_temperature_primary,0.85,medium,"Reviewed top source: dense multi-temperature primary series with elevated van't Hoff residuals relative to the cleanest sources.",codex,"Coarse prior only; exact measurement modality still unknown."
10.1016/j.cjche.2020.07.022,polythermal_visual,1.00,high,"Semantic Scholar abstract explicitly says solubility was determined using a laser monitoring system over 278.15-323.15 K.",codex,"Text-confirmed dynamic/polythermal-style method."
10.1021/acs.jced.8b00811,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says the shake-flask technique was used over 278.15-333.15 K.",codex,"Text-confirmed method."
10.1021/acs.jced.8b00430,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says the shake-flask method was used over 278.15-333.15 K.",codex,"Text-confirmed method."
10.1016/j.molliq.2019.111264,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says solubility was obtained by a gravimetric method under atmospheric pressure.",codex,"Text-confirmed method."
10.1016/j.molliq.2019.111577,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says solubility was determined by a static gravimetric method.",codex,"Text-confirmed method."
10.1021/acs.jced.9b00360,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says equilibrium solubility was determined by a static gravimetric method.",codex,"Text-confirmed method."
10.1021/acs.jced.9b00350,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says solubility was measured using a gravimetric method.",codex,"Text-confirmed method."
10.1021/acs.jced.9b00445,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says solid-liquid equilibrium data were measured by a static gravimetric method.",codex,"Text-confirmed method."
10.1021/acs.jced.9b01004,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says the saturation shake-flask method was used.",codex,"Text-confirmed method."
10.1016/j.fluid.2018.05.023,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says solubility was determined by a gravimetric method; DSC mentions refer to auxiliary thermal properties, not the solubility measurement path.",codex,"Text-confirmed solubility method."
10.1016/j.jct.2020.106328,polythermal_visual,1.00,high,"Semantic Scholar abstract explicitly says solubility determinations were performed through the laser monitoring method.",codex,"Text-confirmed dynamic/polythermal-style method."
10.1021/acs.jced.1c00062,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says the saturation shake-flask technique was used.",codex,"Text-confirmed method."
10.1021/acs.jced.8b01014,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says the shake flask technique was used.",codex,"Text-confirmed method."
10.1021/acs.jced.9b00560,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says the shake-flask method was used.",codex,"Text-confirmed method."
10.1016/j.jct.2020.106280,polythermal_visual,1.00,high,"Semantic Scholar abstract explicitly says solubility was obtained by laser monitoring approach.",codex,"Text-confirmed dynamic/polythermal-style method."
10.1016/j.molliq.2020.113294,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says solid-liquid equilibrium data were measured with a static gravimetric method.",codex,"Text-confirmed method."
10.1021/acs.jced.9b00362,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says solubility was measured by the isothermal saturation method.",codex,"Text-confirmed equilibrium-style method."
10.1016/j.molliq.2020.113425,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says solubility was determined using a gravimetric method.",codex,"Text-confirmed method."
10.1016/j.jct.2020.106259,gravimetric_equilibrium,0.20,high,"Semantic Scholar abstract explicitly says solubility was determined using a gravimetric method.",codex,"Text-confirmed method."
